DATE,MDUR,MAUR,MIUR,MNUR,MSUR,MOUR,MTUR,NEUR,NVUR,NHUR,NJUR,NMUR
2008-01-01,3.6,4.5,7.2,4.700,6.0,5.4,3.8,2.9,5.3,3.4,4.600,3.8
2008-02-01,3.6,4.6,7.2,4.7,6.1,5.4,3.9,2.9,5.5,3.4,4.6,3.8
2008-03-01,3.7,4.6,7.3,4.8,6.1,5.5,4.0,3.0,5.7,3.4,4.700,3.8
2008-04-01,3.8,4.8,7.4,4.9,6.3,5.6,4.1,3.0,5.9,3.5,4.800,3.9
2008-05-01,4.0,4.9,7.6,5.1,6.4,5.8,4.3,3.1,6.2,3.5,5.0,4.0
2008-06-01,4.2,5.1,7.9,5.300,6.6,6.0,4.5,3.2,6.5,3.6,5.2,4.1
2008-07-01,4.5,5.3,8.1,5.4,6.8,6.2,4.7,3.2,6.8,3.700,5.4,4.2
2008-08-01,4.7,5.5,8.4,5.600,6.9,6.400,4.9,3.3,7.2,3.800,5.6,4.4
2008-09-01,5.0,5.7,8.7,5.7,7.0,6.600,5.1,3.4,7.6,3.9,5.9,4.5
2008-10-01,5.3,6.0,9.1,6.000,7.2,6.900,5.4,3.5,8.1,4.1,6.2,4.7
2008-11-01,5.7,6.3,9.6,6.300,7.4,7.2,5.8,3.7,8.6,4.3,6.5,5.0
2008-12-01,6.2,6.7,10.1,6.700,7.7,7.6,6.2,3.900,9.2,4.6,6.9,5.4
2009-01-01,6.6,7.0,10.9,7.2,8.1,8.0,6.6,4.100,9.7,5.0,7.3,5.8
2009-02-01,7.0,7.4,11.8,7.6,8.5,8.3,6.9,4.300,10.2,5.3,7.8,6.2
2009-03-01,7.3,7.7,12.5,7.9,8.8,8.6,7.1,4.500,10.7,5.7,8.1,6.6
2009-04-01,7.5,7.9,13.1,8.1,9.0,8.9,7.2,4.600,11.1,5.9,8.5,6.9
2009-05-01,7.6,8.1,13.6,8.2,9.2,9.0,7.2,4.700,11.4,6.1,8.7,7.1
2009-06-01,7.7,8.2,14.0,8.2,9.3,9.1,7.2,4.7,11.7,6.3,9.0,7.3
2009-07-01,7.7,8.3,14.0,8.1,9.4,9.2,7.1,4.800,12.0,6.4,9.2,7.3
2009-08-01,7.7,8.4,13.8,8.000,9.6,9.3,7.1,4.800,12.3,6.500,9.4,7.4
2009-09-01,7.8,8.4,13.7,8.0,9.8,9.4,7.1,4.800,12.5,6.5,9.6,7.4
2009-10-01,7.8,8.5,13.5,7.9,10.0,9.4,7.2,4.800,12.8,6.6,9.8,7.5
2009-11-01,7.9,8.5,13.4,7.9,10.2,9.5,7.3,4.9,13.0,6.7,9.9,7.5
2009-12-01,8.0,8.5,13.3,7.8,10.4,9.6,7.4,4.9,13.3,6.7,9.9,7.6
2010-01-01,8.1,8.5,13.2,7.8,10.5,9.7,7.5,4.9,13.5,6.7,10.0,7.8
2010-02-01,8.1,8.4,13.1,7.700,10.5,9.7,7.5,4.9,13.6,6.6,9.9,7.8
2010-03-01,8.0,8.4,12.9,7.600,10.4,9.6,7.400,4.9,13.7,6.5,9.9,7.9
2010-04-01,7.9,8.3,12.7,7.500,10.4,9.6,7.400,4.8,13.8,6.3,9.8,7.9
2010-05-01,7.9,8.1,12.5,7.400,10.3,9.5,7.2,4.700,13.7,6.1,9.7,7.9
2010-06-01,7.8,8.0,12.4,7.300,9.9,9.4,7.1,4.600,13.7,6.0,9.6,7.8
2010-07-01,7.7,7.9,12.3,7.2,9.8,9.400,7.0,4.6,13.7,5.9,9.5,7.8
2010-08-01,7.7,7.9,12.0,7.3,9.8,9.4,7.0,4.6,13.7,5.8,9.5,7.8
2010-09-01,7.7,7.9,11.7,7.3,9.8,9.4,7.0,4.6,13.8,5.8,9.5,7.8
2010-10-01,7.7,7.8,11.5,7.3,9.8,9.5,7.0,4.6,13.9,5.8,9.5,7.7
2010-11-01,7.7,7.8,11.2,7.2,9.9,9.5,7.1,4.6,13.9,5.8,9.500,7.6
2010-12-01,7.6,7.7,10.8,7.1,9.9,9.4,7.0,4.6,13.8,5.7,9.5,7.5
2011-01-01,7.5,7.6,10.5,6.9,9.9,9.3,7.0,4.6,13.7,5.6,9.5,7.4
2011-02-01,7.4,7.5,10.4,6.8,9.8,9.2,6.9,4.6,13.6,5.5,9.400,7.2
2011-03-01,7.4,7.4,9.9,6.7,9.8,9.0,6.8,4.5,13.5,5.4,9.400,7.1
2011-04-01,7.3,7.400,10.0,6.7,9.9,8.9,6.8,4.5,13.5,5.4,9.4,7.1
2011-05-01,7.4,7.3,10.1,6.7,9.9,8.8,6.7,4.5,13.4,5.5,9.4,7.1
